Name	category
LOC105374797	Active
EXOC6B	Active
SFXN5	Active
SMYD5	Active
PRADC1	Active
CCT7	Active
LOC105374804	Active
ALMS1	Active
TPRKB	Active
DUSP11	Active
STAMBP	Active
DGUOK	Active
BOLA3	Active
BOLA3-AS1	Active
MOB1A	Active
MTHFD2	Active
C2orf81	Active
WDR54	Active
INO80B-WBP1	Active
INO80B	Active
WBP1	Active
MOGS	Active
MRPL53	Active
CCDC142	Active
TTC31	Active
AUP1	Active
HTRA2	Active
MRPL19	Active
GCFC2	Active
LOC105374813	Active
SUCLG1	Active
DNAH6	Active
LOC105374836	Active
TMSB10	Active
KCMF1	Active
TGOLN2	Active
RETSAT	Active
ELMOD3	Active
CAPG	Active
LOC105374841	Active
SH2D6	Active
PARTICL	Active
MAT2A	Active
GGCX	Active
VAMP8	Active
TMEM150A	Active
USP39	Active
C2orf68	Active
POLR1A	Active
PTCD3	Active
IMMT	Active
MRPL35	Active
KDM3A	Active
RNF103-CHMP3	Active
CHMP3	Active
LOC105374845	Active
RNF103	Active
RMND5A	Active
KRCC1	Active
FOXI3	Active
EIF2AK3	Active
LOC101928403	Active
LOC102724805	Active
RPIA	Active
MRPS5	Active
FAHD2A	Active
ANKRD36C	Active
LOC107984110	Active
TMEM127	Active
CIAO1	Active
SNRNP200	Active
NCAPH	Active
KANSL3	Active
LMAN2L	Active
CNNM4	Active
ANKRD39	Active
SEMA4C	Active
FAHD2B	Active
ANKRD36	Active
ANKRD36B	Active
COX5B	Active
ACTR1B	Active
C2orf92	Active
TMEM131	Active
COA5	Active
UNC50	Active
TSGA10	Active
C2orf15	Active
LIPT1	Active
MITD1	Active
MRPL30	Active
TXNDC9	Active
EIF5B	Active
REV1	Active
CHST10	Active
RPL31	Active
CNOT11	Active
RNF149	Active
LOC105373512	Active
MIR5696	Active
MAP4K4	Active
MFSD9	Active
TMEM182	Active
LOC102724691	Active
MRPS9	Active
TGFBRAP1	Active
LOC100506473	Active
C2orf49	Active
NCK2	Active
UXS1	Active
LOC107985930	Active
GCC2	Active
GCC2-AS1	Active
LIMS1	Active
RANBP2	Active
CCDC138	Active
SEPT10	Active
SOWAHC	Active
NPHP1	Active
BUB1	Active
LOC105373554	Active
ANAPC1	Active
ZC3H8	Active
ZC3H6	Active
RGPD8	Active
TTL	Active
CHCHD5	Active
SLC20A1	Active
CKAP2L	Active
